Tree,DepthIndex,Feature,Threshold
21,1,proton_yvelocity,11.595346450805664
21,2,Temp,45.44057846069336
21,3,alpha_bulk_speed,415.74993896484375
21,4,alpha_density,0.037270888686180115
21,5,Temp,69.02291107177734
22,0,mean_integrated_flux_s11_mod,9442217.0
22,1,Temp,44.11731719970703
22,2,proton_xvelocity,-358.9875183105469
22,3,proton_yvelocity,7.8232421875
22,4,alpha_density,0.0320809967815876
22,5,Speed_bulk_proton,417.9690246582031
23,0,mean_integrated_flux_s11_mod,6781114.0
23,1,mean_integrated_flux_s9_mod,52225456.0
23,2,Temp,46.4185676574707
23,3,proton_xvelocity,-363.9822692871094
23,4,alpha_density,0.023870810866355896
23,5,proton_yvelocity,7.697873115539551
24,0,mean_integrated_flux_s9_mod,4104385.25
24,1,Temp,44.87083435058594
24,2,proton_xvelocity,-361.75
24,3,mean_integrated_flux_s11_mod,51280480.0
24,4,proton_yvelocity,8.327800750732422
24,5,Bx_gsm,-1.1359922885894775
25,0,mean_integrated_flux_s9_mod,3279858.0
25,1,Temp,43.12206268310547
25,2,Speed_bulk_proton,360.3289794921875
25,3,mean_integrated_flux_s9_mod,35629740.0
25,4,Speed_bulk_proton,326.071044921875
25,5,Temp,72.46674346923828
26,0,mean_integrated_flux_s9_mod,3279858.0
26,1,Temp,43.521156311035156
26,2,Speed_bulk_proton,364.6994323730469
26,3,mean_integrated_flux_s11_mod,68848992.0
26,4,proton_yvelocity,8.196866035461426
26,5,Bz_gsm,-4.284099578857422
27,0,mean_integrated_flux_s9_mod,4104385.25
27,1,Temp,43.521156311035156
27,2,Speed_bulk_proton,363.9822692871094
27,3,mean_integrated_flux_s9_mod,38167612.0
27,4,proton_yvelocity,11.595346450805664
27,5,By_gse,-1.0988388061523438
28,0,mean_integrated_flux_s9_mod,4104385.25
28,1,Temp,44.87083435058594
28,2,proton_xvelocity,-363.2369384765625
28,3,mean_integrated_flux_s9_mod,33720112.0
28,4,mean_integrated_flux_s16_mod,49343428.0
28,5,Bx_gsm,2.048271656036377
29,0,mean_integrated_flux_s11_mod,5277371.0
29,1,proton_xvelocity,-367.5121765136719
29,2,mean_integrated_flux_s11_mod,61127320.0
29,3,Temp,43.521156311035156
29,4,proton_yvelocity,6.671181678771973
29,5,Bz_gsm,-3.7870755195617676
30,0,mean_integrated_flux_s9_mod,4104385.25
30,1,Speed_bulk_proton,364.6994323730469
30,2,Temp,44.68159484863281
30,3,mean_integrated_flux_s11_mod,61740424.0
30,4,mean_integrated_flux_s16_mod,44317936.0
30,5,By_gse,-4.662483215332031
31,0,mean_integrated_flux_s16_mod,39473948.0
31,1,Temp,42.73063659667969
31,2,proton_xvelocity,-369.4625244140625
31,3,mean_integrated_flux_s9_mod,34799352.0
31,4,Bz_gsm,-3.9250946044921875
31,5,mean_integrated_flux_s19_mod,39767672.0
32,0,mean_integrated_flux_s9_mod,4104385.25
32,1,proton_yvelocity,11.350719451904297
32,2,Temp,46.01580047607422
32,3,alpha_bulk_speed,418.37249755859375
32,4,Bz_gsm,-4.068910121917725
32,5,mean_integrated_flux_s15_mod,7318286.5
33,0,mean_integrated_flux_s9_mod,4104385.25
33,1,mean_integrated_flux_s17_mod,254927712.0
33,2,Temp,43.12206268310547
33,3,Speed_bulk_proton,358.98712158203125
33,4,mean_integrated_flux_s9_mod,30889220.0
33,5,proton_yvelocity,16.75339698791504
34,0,mean_integrated_flux_s11_mod,8089260.0
34,1,proton_yvelocity,12.56755542755127
34,2,Temp,45.44057846069336
34,3,alpha_bulk_speed,415.74993896484375
34,4,alpha_density,0.03286679834127426
34,5,Bz_gsm,-4.811678886413574
35,0,mean_integrated_flux_s9_mod,50083120.0
35,1,proton_xvelocity,-367.5121765136719
35,2,Temp,41.094154357910156
35,3,proton_zvelocity,-42.36781692504883
35,4,mean_integrated_flux_s11_mod,63688424.0
35,5,By_gse,-3.8469324111938477
36,0,mean_integrated_flux_s16_mod,39473948.0
36,1,alpha_thermal,39.46454620361328
36,2,proton_yvelocity,12.210453033447266
36,3,mean_integrated_flux_s9_mod,15114311.0
36,4,Speed_bulk_proton,421.53887939453125
36,5,Bx_gse,2.2327756881713867
37,0,mean_integrated_flux_s11_mod,5277371.0
37,1,Speed_bulk_proton,366.81451416015625
37,2,mean_integrated_flux_s11_mod,86314968.0
37,3,Temp,42.9249267578125
37,4,Temp,69.71670532226562
37,5,Speed_bulk_proton,327.65142822265625
38,0,mean_integrated_flux_s16_mod,37583760.0
38,1,alpha_thermal,37.588069915771484
38,2,proton_xvelocity,-365.3839111328125
38,3,mean_integrated_flux_s11_mod,75840304.0
38,4,Bz_gsm,-1.8108422756195068
38,5,mean_integrated_flux_s19_mod,37768456.0
39,0,mean_integrated_flux_s16_mod,37583760.0
39,1,alpha_thermal,37.86503601074219
39,2,Speed_bulk_proton,361.7496032714844
39,3,mean_integrated_flux_s11_mod,75112520.0
39,4,Bz_gsm,-2.519477605819702
39,5,alpha_density,0.04101587459445
40,0,mean_integrated_flux_s9_mod,4104385.25
40,1,proton_yvelocity,9.17855453491211
40,2,Temp,45.634132385253906
40,3,alpha_bulk_speed,419.03875732421875
40,4,alpha_density,0.03365584462881088
40,5,By_gse,3.533538341522217
41,0,mean_integrated_flux_s9_mod,49681492.0
41,1,proton_xvelocity,-368.16278076171875
41,2,alpha_thermal,33.01819610595703
41,3,Speed_bulk_proton,326.071044921875
